age,yr,cohort,L,D,rate,y,country,gender
50.0,1990.0,1940.0,0,0,0.006562729220952637,-5.0263487227673265,SA2,Female
51.0,1990.0,1939.0,0,0,0.007425397117324978,-4.90284911190877,SA2,Female
52.0,1990.0,1938.0,0,0,0.008009361500044707,-4.827144233932453,SA2,Female
53.0,1990.0,1937.0,0,0,0.008571465501138785,-4.7593165573584395,SA2,Female
54.0,1990.0,1936.0,0,0,0.009000372418593323,-4.710489322658337,SA2,Female
55.0,1990.0,1935.0,0,0,0.010368008214005528,-4.5690303471266285,SA2,Female
56.0,1990.0,1934.0,0,0,0.010994046776303936,-4.510401354840701,SA2,Female
57.0,1990.0,1933.0,0,0,0.012464858206644601,-4.384841937390641,SA2,Female
58.0,1990.0,1932.0,0,0,0.014776822483466316,-4.214695374162078,SA2,Female
59.0,1990.0,1931.0,0,0,0.014087501477302472,-4.262467294750056,SA2,Female
60.0,1990.0,1930.0,0,0,0.017360110606086242,-4.053580198451898,SA2,Female
61.0,1990.0,1929.0,0,0,0.018066577505290275,-4.013691594348359,SA2,Female
62.0,1990.0,1928.0,0,0,0.020826080977900268,-3.871549184574095,SA2,Female
63.0,1990.0,1927.0,0,0,0.021818082862471985,-3.8250161639188356,SA2,Female
64.0,1990.0,1926.0,0,0,0.026272100252759598,-3.639247729764787,SA2,Female
65.0,1990.0,1925.0,0,0,0.02793826717204592,-3.577757946688431,SA2,Female
66.0,1990.0,1924.0,0,0,0.03098558725880806,-3.474233109744346,SA2,Female
67.0,1990.0,1923.0,0,0,0.03627408153565041,-3.3166518000182896,SA2,Female
68.0,1990.0,1922.0,0,0,0.03959508305231073,-3.2290503337765455,SA2,Female
69.0,1990.0,1921.0,0,0,0.045109910782525006,-3.0986533053397802,SA2,Female
70.0,1990.0,1920.0,0,0,0.0524275936935264,-2.9483222290540896,SA2,Female
71.0,1990.0,1919.0,0,0,0.06016239468707003,-2.810707794829072,SA2,Female
72.0,1990.0,1918.0,0,0,0.06694683879658718,-2.7038564253370696,SA2,Female
73.0,1990.0,1917.0,0,0,0.07014220230232186,-2.6572306360986206,SA2,Female
74.0,1990.0,1916.0,0,0,0.08087541096719,-2.514845444663133,SA2,Female
75.0,1990.0,1915.0,0,0,0.09598328651242195,-2.343581201500199,SA2,Female
76.0,1990.0,1914.0,0,0,0.10779807994902448,-2.2274954318994014,SA2,Female
77.0,1990.0,1913.0,0,0,0.1286734469241751,-2.0504775032719382,SA2,Female
78.0,1990.0,1912.0,0,0,0.14023209412638965,-1.964456413843068,SA2,Female
79.0,1990.0,1911.0,0,0,0.15177400101370825,-1.88536270000866,SA2,Female
80.0,1990.0,1910.0,0,0,0.19030162447062618,-1.659144968349541,SA2,Female
81.0,1990.0,1909.0,0,0,0.19418814083975397,-1.6389277917261529,SA2,Female
82.0,1990.0,1908.0,0,0,0.2182282833645315,-1.5222135926976172,SA2,Female
83.0,1990.0,1907.0,0,0,0.23768596332887268,-1.436804958404759,SA2,Female
84.0,1990.0,1906.0,0,0,0.25859670517704425,-1.352485553726923,SA2,Female
50.0,1991.0,1941.0,0,0,0.006363625477197487,-5.057157020458721,SA2,Female
51.0,1991.0,1940.0,0,0,0.006981226700575669,-4.964530632581064,SA2,Female
52.0,1991.0,1939.0,0,0,0.007674346324918054,-4.869872158527779,SA2,Female
53.0,1991.0,1938.0,0,0,0.008190292494584715,-4.804805668130368,SA2,Female
54.0,1991.0,1937.0,0,0,0.00904780942613257,-4.705232602930745,SA2,Female
55.0,1991.0,1936.0,0,0,0.01028045637095689,-4.577510625878551,SA2,Female
56.0,1991.0,1935.0,0,0,0.011036654115025354,-4.506533353359148,SA2,Female
57.0,1991.0,1934.0,0,0,0.012125015045841181,-4.412484601265242,SA2,Female
58.0,1991.0,1933.0,0,0,0.013877302999071422,-4.277500651208055,SA2,Female
59.0,1991.0,1932.0,0,0,0.014017855710933731,-4.267423354084833,SA2,Female
60.0,1991.0,1931.0,0,0,0.015061235315906425,-4.195631033685754,SA2,Female
61.0,1991.0,1930.0,0,0,0.017470263616661662,-4.047255065272764,SA2,Female
62.0,1991.0,1929.0,0,0,0.020211499892557022,-3.9015035349539287,SA2,Female
63.0,1991.0,1928.0,0,0,0.022990173143500426,-3.7726884089826696,SA2,Female
64.0,1991.0,1927.0,0,0,0.024809032064841925,-3.6965474959515445,SA2,Female
65.0,1991.0,1926.0,0,0,0.02701620866473089,-3.611318272182367,SA2,Female
66.0,1991.0,1925.0,0,0,0.030887584974001417,-3.4774009565906128,SA2,Female
67.0,1991.0,1924.0,0,0,0.035696903714952266,-3.332691324631472,SA2,Female
68.0,1991.0,1923.0,0,0,0.0373302427625883,-3.287951482926822,SA2,Female
69.0,1991.0,1922.0,0,0,0.04654883615467874,-3.067253277619335,SA2,Female
70.0,1991.0,1921.0,0,0,0.0498070202677435,-2.999599335654961,SA2,Female
71.0,1991.0,1920.0,0,0,0.05463768405771922,-2.907031450091552,SA2,Female
72.0,1991.0,1919.0,0,0,0.06528578720271598,-2.7289809202532527,SA2,Female
73.0,1991.0,1918.0,0,0,0.06875239532175606,-2.677243701998667,SA2,Female
74.0,1991.0,1917.0,0,0,0.07810673969873067,-2.5496789301013663,SA2,Female
75.0,1991.0,1916.0,0,0,0.09535810229095122,-2.350115976335522,SA2,Female
76.0,1991.0,1915.0,0,0,0.10264259482941429,-2.276502278115373,SA2,Female
77.0,1991.0,1914.0,0,0,0.12120537276353649,-2.110268876597307,SA2,Female
78.0,1991.0,1913.0,0,0,0.12957474114467527,-2.0434974126341947,SA2,Female
79.0,1991.0,1912.0,0,0,0.14446114956473882,-1.934744668722963,SA2,Female
80.0,1991.0,1911.0,0,0,0.17502954820632907,-1.7428004724183463,SA2,Female
81.0,1991.0,1910.0,0,0,0.19258259267860367,-1.647230164395301,SA2,Female
82.0,1991.0,1909.0,0,0,0.21114613754522243,-1.5552047902382484,SA2,Female
83.0,1991.0,1908.0,0,0,0.2277329370891374,-1.4795816651255675,SA2,Female
84.0,1991.0,1907.0,0,0,0.27494678924479726,-1.291177693693161,SA2,Female
50.0,1992.0,1942.0,0,0,0.00581025863075232,-5.148130194349634,SA2,Female
51.0,1992.0,1941.0,0,0,0.0066869160875988876,-5.007602484576006,SA2,Female
52.0,1992.0,1940.0,0,0,0.0075035413903041465,-4.89238018451042,SA2,Female
53.0,1992.0,1939.0,0,0,0.008104324693580557,-4.815357446996741,SA2,Female
54.0,1992.0,1938.0,0,0,0.00840924432297446,-4.778423663615365,SA2,Female
55.0,1992.0,1937.0,0,0,0.009671204692513107,-4.638602396871764,SA2,Female
56.0,1992.0,1936.0,0,0,0.010154356450889732,-4.589852458593101,SA2,Female
57.0,1992.0,1935.0,0,0,0.01129374759088015,-4.483506016938189,SA2,Female
58.0,1992.0,1934.0,0,0,0.012380428786210323,-4.391638376928845,SA2,Female
59.0,1992.0,1933.0,0,0,0.0145841957787813,-4.22781681747884,SA2,Female
60.0,1992.0,1932.0,0,0,0.014897358755977256,-4.20657134644348,SA2,Female
61.0,1992.0,1931.0,0,0,0.01692008927292503,-4.0792536486403765,SA2,Female
62.0,1992.0,1930.0,0,0,0.019378079164208663,-3.9436127917655854,SA2,Female
63.0,1992.0,1929.0,0,0,0.02013560744910698,-3.905265516317947,SA2,Female
64.0,1992.0,1928.0,0,0,0.024299159469980753,-3.7173135189465984,SA2,Female
65.0,1992.0,1927.0,0,0,0.026350531682356078,-3.63626682649981,SA2,Female
66.0,1992.0,1926.0,0,0,0.0289250483459523,-3.5430473344793407,SA2,Female
67.0,1992.0,1925.0,0,0,0.03127288072824318,-3.4650039874113725,SA2,Female
68.0,1992.0,1924.0,0,0,0.03585402384172632,-3.3282994771827252,SA2,Female
69.0,1992.0,1923.0,0,0,0.04108882214570197,-3.1920191617276092,SA2,Female
70.0,1992.0,1922.0,0,0,0.04840906599998881,-3.0280681687512816,SA2,Female
71.0,1992.0,1921.0,0,0,0.0515403321005514,-2.9653906302289803,SA2,Female
72.0,1992.0,1920.0,0,0,0.06478861426038923,-2.7366253969201817,SA2,Female
73.0,1992.0,1919.0,0,0,0.06780240760041456,-2.6911575743356657,SA2,Female
74.0,1992.0,1918.0,0,0,0.078389149550399,-2.5460697597955932,SA2,Female
75.0,1992.0,1917.0,0,0,0.09330950010801818,-2.3718333530754077,SA2,Female
