age,yr,cohort,L,D,rate,y,country,gender
50.0,1990.0,1940.0,0,0,0.006566588212303108,-5.025760879342683,SA1,Female
51.0,1990.0,1939.0,0,0,0.007531828056153242,-4.888617496892674,SA1,Female
52.0,1990.0,1938.0,0,0,0.007873191382791796,-4.844291786324873,SA1,Female
53.0,1990.0,1937.0,0,0,0.00907046803731943,-4.702731413394912,SA1,Female
54.0,1990.0,1936.0,0,0,0.009911893834517235,-4.614019845516003,SA1,Female
55.0,1990.0,1935.0,0,0,0.010824099415915498,-4.525980203389062,SA1,Female
56.0,1990.0,1934.0,0,0,0.011428524666031548,-4.471642885094179,SA1,Female
57.0,1990.0,1933.0,0,0,0.014477604760261305,-4.2351523228165115,SA1,Female
58.0,1990.0,1932.0,0,0,0.014337848963029113,-4.24485245764034,SA1,Female
59.0,1990.0,1931.0,0,0,0.016018840097565656,-4.1339897433610755,SA1,Female
60.0,1990.0,1930.0,0,0,0.01863988160013735,-3.9824518216688274,SA1,Female
61.0,1990.0,1929.0,0,0,0.02094285241932241,-3.865957864128875,SA1,Female
62.0,1990.0,1928.0,0,0,0.022388975238801935,-3.7991866181191187,SA1,Female
63.0,1990.0,1927.0,0,0,0.025797839732477713,-3.6574645218595396,SA1,Female
64.0,1990.0,1926.0,0,0,0.028980347210216282,-3.5411373611325154,SA1,Female
65.0,1990.0,1925.0,0,0,0.030759553901662563,-3.4815546369965875,SA1,Female
66.0,1990.0,1924.0,0,0,0.03199650033057266,-3.4421287468327666,SA1,Female
67.0,1990.0,1923.0,0,0,0.03803706428025395,-3.2691942188294822,SA1,Female
68.0,1990.0,1922.0,0,0,0.04184129189335865,-3.1738715827098347,SA1,Female
69.0,1990.0,1921.0,0,0,0.044369429029083696,-3.1152045820743046,SA1,Female
70.0,1990.0,1920.0,0,0,0.05040596984424267,-2.9876456616288483,SA1,Female
71.0,1990.0,1919.0,0,0,0.05800943978954752,-2.847149526686676,SA1,Female
72.0,1990.0,1918.0,0,0,0.059108406248189096,-2.828382126982892,SA1,Female
